Golongan Umur,,,,,,
,Pengangguran Menurut Golongan Umur (Orang),,,,,
,Pernah Bekerja,,Tidak Pernah Bekerja,,Jumlah Pengangguran,
,2021,,2021,,2021,
,Februari,Agustus,Februari,Agustus,Februari,Agustus
15-19,281236,216393,931164,1252939,1212400,1469332
20-24,1338570,1035523,1270769,1562284,2609339,2597807
25-29,1111006,852228,423633,664517,1534639,1516745
30-34,654139,589693,152522,303790,806661,893483
35-39,518758,470312,99728,197575,618486,667887
40-44,439957,398921,130641,153874,570598,552795
45-49,382735,365381,105693,133573,488428,498954
50-54,315484,231420,74734,53498,390218,284918
55-59,252439,170952,67204,30214,319643,201166
60+,172463,354345,23133,64620,195596,418965
Total,5466787,4685168,3279221,4416884,8746008,9102052
